0.500 0.325759 0.00614629
0.575 0.412597 0.00347803
0.650 0.431085 0.00299288
0.725 0.436581 0.00311873
0.800 0.442773 0.00244209
0.875 0.437928 0.00176332
0.950 0.429178 0.00185774
1.025 0.415191 0.00146117
1.100 0.397719 0.00127426
1.175 0.377477 0.00112964
1.250 0.358509 0.000946432
1.325 0.337348 0.000747211
1.400 0.316955 0.000761907
1.475 0.298702 0.000733719
1.550 0.282388 0.000689247
1.625 0.26531 0.000629045
1.700 0.248442 0.000559368
1.775 0.234276 0.000497253
1.850 0.221645 0.000460172
1.925 0.208432 0.000454586
2.000 0.197026 0.000428849
