0.500 0.335476 0.00756239
0.575 0.405107 0.0032789
0.650 0.424449 0.00354122
0.725 0.430432 0.00340779
0.800 0.435772 0.00268916
0.875 0.435862 0.00193267
0.950 0.425874 0.00205501
1.025 0.413265 0.00155672
1.100 0.395164 0.00128978
1.175 0.378335 0.00112961
1.250 0.357635 0.00101794
1.325 0.336052 0.00101292
1.400 0.316788 0.000822013
1.475 0.299102 0.00073666
1.550 0.281563 0.000648657
1.625 0.264739 0.000562072
1.700 0.249785 0.000531358
1.775 0.23521 0.00052868
1.850 0.221296 0.000531132
1.925 0.208738 0.000475773
2.000 0.197143 0.000459221
