0.500 -1.0028 0.00082818
0.575 -0.978257 0.00102151
0.650 -0.939605 0.00100201
0.725 -0.899918 0.000780145
0.800 -0.86157 0.000621433
0.875 -0.825111 0.000485138
0.950 -0.789638 0.000463056
1.025 -0.7569 0.000367706
1.100 -0.725433 0.000343367
1.175 -0.695461 0.000251904
1.250 -0.667523 0.000305614
1.325 -0.640673 0.000285635
1.400 -0.615345 0.000261278
1.475 -0.591927 0.000260081
1.550 -0.570068 0.000255979
1.625 -0.549186 0.000257097
1.700 -0.529693 0.000250285
1.775 -0.511262 0.000244394
1.850 -0.494301 0.000216501
1.925 -0.478124 0.000230685
2.000 -0.462851 0.000242988
